date,Po,P,U,Ff,VV,tavg,tmin,tmax,prcp,wspd
2005/2/1,761.7,765.5,60.66666667,1.333333333,10.33333333,9.5,8.1,10.6,0,8.1
2005/2/2,762.1,765.975,89.75,1.5,4.125,8.2,7.3,9.1,1.1,5.7
2005/2/3,761.25,765.1,94.5,1,1.575,9,8,9.9,0.9,3.8
2005/2/4,759.4,763.175,93,0.75,1.05,13,9.9,15.8,0,2.6
2005/2/5,758.625,762.375,89.5,0.5,2.3,17.8,15.1,20.8,0,1.8
2005/2/6,759.375,763.025,88,1.25,5.175,19.7,17.2,25.1,0,6.3
2005/2/7,760.825,764.5,81.75,1,9.5,20.9,18.3,26.9,0,4.8
2005/2/8,761.25,764.95,86.5,0.75,7.25,19.5,16.3,23.7,0,5.6
2005/2/9,761.025,764.7,81.75,0.75,6,21.3,19.1,24.7,0,3.6
2005/2/10,763.975,767.7,74,2.5,14.5,15.3,12.4,21.7,0,14.1
2005/2/11,765.575,769.375,61.5,1.75,15.75,13.1,10.4,16.8,0,8.7
2005/2/12,763.975,767.775,65,1.25,16,15.1,12.8,19.5,0,9
2005/2/13,762.25,766,67.75,1.25,13.75,16.5,12.2,22.6,0,5.9
2005/2/14,759.375,763.075,79.25,1.5,12,18.6,16.7,20.5,0.7,4.5
2005/2/15,756.675,760.35,82.5,2,9.25,21.2,19,25.9,0,7.2
2005/2/16,754.775,758.45,83.5,2.5,10.5,23.2,21.2,27.3,0,8.7
2005/2/17,755.9,759.625,90.25,2.5,5,14.1,12.8,23.3,2.5,11.7
2005/2/18,760.625,764.45,78.75,3,15.75,10.2,8.7,12.8,2.9,15.2
2005/2/19,764.825,768.675,59.5,3.25,17.75,9.6,8.3,12.5,0,20
2005/2/20,766.45,770.35,50,1.75,13.75,8.1,6.6,9.9,0,14.7
2005/2/21,765.2,769.125,66.25,1.25,10.5,7.4,6.2,9,0.1,7.4
2005/2/22,762.4,766.3,92.5,1.5,1.825,7.5,6.3,8.7,2.5,4.8
2005/2/23,756.95,760.8,93.5,0.5,1.2,11,8.7,12.8,0.3,1.9
2005/2/24,754.2,757.9,93.25,0.75,1.3,15.9,12.6,19.4,0.4,2.4
2005/2/25,755.375,759.05,90.5,1,2.325,19,16.3,23.3,1.2,3.3
2005/2/26,759.5,763.225,94,1.25,2.85,15.7,13.6,19,8.5,7.2
2005/2/27,761.25,765.075,93.25,1.5,8.75,11.8,10.8,13.6,5.7,7.2
2005/2/28,762.725,766.525,74.75,2.5,18.25,11.9,9,15.4,8.2,13.2
2005/3/1,763.5,767.325,86.75,1,7.875,10.7,10,13.3,3.7,6.5
2005/3/2,763.75,767.55,92.75,1,10.75,10.4,10,11.1,5.8,7.5
2005/3/3,766,769.825,66.75,2.5,13.5,12.1,9.9,16.3,2.1,14.7
2005/3/4,768.9,772.775,65,1,11.25,11.2,9.1,15.1,0.3,8.6
2005/3/5,770.425,774.275,62.75,1.25,14.25,11.8,7.1,18.9,0.1,6.8
2005/3/6,767.725,771.525,43.5,1.5,17.25,13.6,6.4,20.9,0,6.3
2005/3/7,765.8,769.625,58.5,1.25,14.5,15.8,9.3,23,0,5.7
2005/3/8,762.75,766.525,71.75,1.25,12,17.8,12.1,24.5,0,6.2
2005/3/9,759.875,763.6,76,1.75,8.5,20,17.2,22.8,0,5
2005/3/10,756.125,759.825,80.75,1.5,6,21,18.3,23.7,0,5.4
2005/3/11,755.6,759.3,88.75,1,2.6,21.5,20.3,23.1,0.6,4.8
2005/3/12,759.525,763.275,86,3,9.675,15.3,8.5,22,45.7,15.2
2005/3/13,766.475,770.35,61.25,2.25,18.75,7.7,5.9,8.8,0.4,15
2005/3/14,763.05,766.9,55.25,1.5,16,10.7,8.8,13.6,0,4.5
2005/3/15,760.425,764.25,76.25,1,9.5,12.5,10.1,15.5,0,3.8
2005/3/16,760.3,764.075,82,0.75,1.975,17.4,14,21.4,0,3.2
2005/3/17,759.625,763.325,85.25,1.5,3.7,21,17.5,25.7,1.7,6.6
2005/3/18,761.5,765.15,60.5,1.5,14.5,21.5,17.9,25.2,0,9.5
2005/3/19,761.9,765.6,65.5,1.5,7.75,20,17,23.9,0,6
2005/3/20,760.55,764.275,59.5,1.5,12.75,20.2,14.2,26.6,0,5.9
2005/3/21,757.675,761.375,78.25,1.5,8.75,20.5,18.2,23.3,0,6.3
2005/3/22,754.95,758.6,80.5,1.5,9,22.4,18.6,27,14,5
2005/3/23,759.15,762.85,67,2.5,17.5,17.6,14.8,22.5,19.2,14.7
2005/3/24,763.1,766.8,50.75,1.75,17.25,17.4,14.3,21.5,0,12.8
2005/3/25,762.225,765.975,52,1,15.5,18.2,14.8,21.9,0,4.7
2005/3/26,759.1,762.775,77.5,1.25,8.25,18.4,15.9,21.8,1.6,3.6
2005/3/27,756.65,760.3,84,1.25,5.25,21.1,19.2,23.9,0,3.8
2005/3/28,756.375,760.025,87.5,0.75,3.475,23.1,21.3,28.2,0,3.2
2005/3/29,755.325,758.975,83.5,1.25,8.125,23.9,21.7,27.5,0.5,8.4
2005/3/30,755.25,758.9,86.75,1.75,5,19.5,17.1,23.6,9.2,6.9
2005/3/31,756.15,759.875,93,1.25,2.05,17.8,17,18.9,16.3,5.2
2005/4/1,757.1,760.8,92,1.25,3.5,18,17.3,19.5,7.2,4.2
2005/4/2,758.55,762.275,74.5,1.25,11.75,20.2,16.8,25.9,0.5,10.4
2005/4/3,760.35,764.05,63.75,1.25,15.25,21.4,16.4,27.8,0,3.9
2005/4/4,761.825,765.525,63.25,1,8,22.3,17.2,28.1,0,4.4
2005/4/5,760.3,763.975,66,1.75,6.5,21.3,18.3,24.1,0,6.3
2005/4/6,757.25,760.925,84.5,1,7,20.8,18.3,24.9,2.3,3.8
2005/4/7,755.65,759.3,81.25,1.5,8.7,23.1,19.3,28.2,0,6.5
2005/4/8,754.875,758.475,81.75,2.5,8.375,24.9,22.5,28.4,0,10.4
2005/4/9,754.75,758.35,84,2.5,8.75,25.3,23.8,27.8,0,11.4
2005/4/10,755.85,759.525,87.5,1.75,3.25,21.8,19.5,25,0.9,7.5
2005/4/11,755.75,759.4,88.75,1.75,5.625,22.4,18.8,25.7,3.7,5.7
2005/4/12,758.475,762.15,90.25,2.25,7,17.4,13.4,24.7,3.6,12.9
2005/4/13,761.8,765.6,80.75,1.25,12,15.5,12.9,18.1,8.9,6
2005/4/14,760.925,764.6,69.25,1,8.75,20.1,16,26.3,0,3.9
2005/4/15,760.55,764.225,68.25,1.25,10.75,22.6,17.9,28.3,0.1,5
2005/4/16,759.325,763,80.5,1.5,8.75,20.3,18.4,23.7,13.5,6.2
2005/4/17,759.675,763.4,85.25,1,4.5,20.1,17.8,23.3,13,4.8
2005/4/18,759.675,763.375,80.25,1.25,5.375,22.9,20,27.3,0,3.2
2005/4/19,759.475,763.125,78.5,1,5.625,24.4,20.2,29.8,0,5.7
2005/4/20,758.825,762.475,70,1.25,14.5,25.1,21.1,31,0,7.4
2005/4/21,756.325,759.925,75.75,1.75,5.25,25.6,23.2,28.8,0,4.8
2005/4/22,755.525,759.125,77.5,2,5.5,25.4,23.5,28.8,0,7.2
2005/4/23,755.75,759.35,81.75,1,6.75,25.3,23.5,28.9,0.7,3.8
2005/4/24,755.5,759.1,82,1.75,6.625,25.8,23.6,28.9,0,5.4
2005/4/25,755.275,758.9,91,1,8.125,22.9,20.9,26.1,95.5,6.2
2005/4/26,754.925,758.6,89.5,1.25,5.75,23,21,25.8,13.3,4.8
2005/4/27,755.225,758.875,92.5,1.75,2.375,21.5,20.9,23.3,41.6,5.7
